日期,天气状况,气温,风力风向
2022年02月01日,雨夹雪/雨夹雪,2℃/-2℃,北风1-2级/北风1-2级
2022年02月02日,中雪/小雪,0℃/-3℃,西风1-2级/西风1-2级
2022年02月03日,晴/阴,9℃/0℃,西南风1-2级/西南风1-2级
2022年02月04日,多云/阴,5℃/1℃,南风1-2级/南风1-2级
2022年02月05日,小雨/雨夹雪,12℃/0℃,南风1-2级/南风1-2级
2022年02月06日,雨夹雪/雨夹雪,10℃/-2℃,西风1-2级/西风1-2级
2022年02月07日,晴/小雪,13℃/-1℃,南风1-2级/南风1-2级
2022年02月08日,雨夹雪/阴,3℃/0℃,西风1-2级/西风1-2级
2022年02月09日,晴/多云,15℃/-1℃,西南风1-2级/西南风1-2级
2022年02月10日,多云/阴,17℃/-1℃,南风1-2级/南风1-2级
2022年02月11日,阴/阴,10℃/-3℃,西风1-2级/西风1-2级
2022年02月12日,小雪/中雪,7℃/0℃,西风1-2级/西风1-2级
2022年02月13日,小雪/晴,12℃/1℃,西南风1-2级/西南风1-2级
2022年02月14日,晴/阴,16℃/2℃,西南风1-2级/西南风1-2级
2022年02月15日,多云/阴,15℃/2℃,西南风1-2级/西南风1-2级
2022年02月16日,小雨/小雨,20℃/1℃,南风1-2级/南风1-2级
2022年02月17日,多云/阴,16℃/-1℃,西风1-2级/西风1-2级
2022年02月18日,小雨/小雨,6℃/0℃,西风1-2级/西风1-2级
2022年02月19日,小雪/小雪,1℃/-2℃,西风1-2级/西风1-2级
2022年02月20日,小雪/小雪,1℃/-3℃,南风1-2级/南风1-2级
2022年02月21日,小雪/小雪,0℃/-3℃,西风1-2级/西风1-2级
2022年02月22日,小雪/小雪,0℃/-3℃,西风1-2级/西风1-2级
2022年02月23日,小雨/小雨,8℃/0℃,南风1-2级/南风1-2级
2022年02月24日,小雨/小雨,5℃/1℃,南风1-2级/南风1-2级
2022年02月25日,小雨/小雨,16℃/0℃,西南风1-2级/西南风1-2级
2022年02月26日,小雨/小雨,5℃/3℃,西风1-2级/西风1-2级
2022年02月27日,晴/晴,19℃/3℃,西南风1-2级/西南风1-2级
2022年02月28日,小雨/小雨,19℃/2℃,西南风1-2级/西南风1-2级
